"region_id","SRR13404367","SRR13404368","SRR13404369","SRR13404370","SRR13404371","SRR13404372","SRR13404373","SRR13404374","SRR13404375","SRR13404376","SRR13404377","SRR13404378","SRR13404379","SRR13404380","SRR13404381","SRR13404382","SRR13404383","SRR13404384","SRR13404385","SRR13404386","SRR13404387","SRR13404388"
"chr21_6126904_6127294",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.823529411764706,0.823529411764706,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"chr21_6457709_6458033",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"chr21_8219030_8221343",0.669064748201439,0.349056603773585,0.468571428571429,0.356164383561644,0.735135135135135,0.622641509433962,0.550847457627119,0.402912621359223,0.349056603773585,0.661417322834646,0.420689655172414,0.391608391608392,0.569948186528497,0.760975609756098,0.258064516129032,0.357142857142857,0.555147058823529,0.362068965517241,0.368421052631579,0.356617647058824,0.352941176470588,0.555066079295154
"chr21_8387801_8396922",NA,NA,NA,0.611111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236842105263158,NA,NA,NA,NA
"chr21_8446300_8448549",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"chr21_8594653_8595830",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA
"chr21_8759034_8759283",NA,NA,0.8,0.857142857142857,NA,0.909090909090909,1,NA,NA,1,NA,NA,NA,NA,1,0.857142857142857,NA,NA,0.692307692307692,1,0.0769230769230769,NA
"chr21_9324996_9325482",NA,NA,NA,NA,0.636363636363636,0.941176470588235,NA,NA,NA,NA,0.529411764705882,NA,NA,NA,NA,NA,0.1,0.625,0.833333333333333,NA,NA,NA
"chr21_9614126_9614463",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.764705882352941,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"chr21_9705052_9706116",NA,NA,NA,NA,NA,NA,0.818181818181818,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,0.91304347826087,NA,NA,0.727272727272727,NA
"chr21_9767493_9767873",NA,NA,NA,0.857142857142857,NA,0.785714285714286,NA,NA,0.571428571428571,0.785714285714286,NA,NA,NA,NA,0.666666666666667,1,NA,0.909090909090909,NA,NA,0.944444444444444,0.647058823529412
"chr21_9768257_9768477",NA,NA,NA,NA,NA,NA,NA,0.142857142857143,NA,NA,1,NA,0.6,0.363636363636364,NA,0.928571428571429,0.625,NA,NA,NA,NA,NA
"chr21_10118706_10118940",0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.875,NA,NA,NA
"chr21_10405477_10405738",1,NA,0.857142857142857,0.777777777777778,NA,NA,NA,0.875,NA,0.75,0.5,NA,1,NA,NA,0.685714285714286,NA,NA,NA,NA,NA,NA
"chr21_10521044_10522543",NA,0.8,NA,NA,NA,NA,NA,NA,0.571428571428571,0.571428571428571,0,0.844444444444444,NA,NA,0.875,0.4375,0,0.851851851851852,NA,NA,0.916666666666667,0.545454545454545
"chr21_10616676_10616948",NA,NA,NA,1,0.535714285714286,0.636363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681818181818182,1,NA,NA,NA,0.9,0.666666666666667
"chr21_10627370_10627724",NA,NA,0.666666666666667,0.727272727272727,NA,0.5,0.583333333333333,0.666666666666667,0.736842105263158,0.512820512820513,0.8,0.518518518518518,NA,NA,0.444444444444444,NA,0.428571428571429,NA,NA,0.571428571428571,0.642857142857143,0.5
"chr21_13609616_13609862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.964285714285714,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"chr21_13825449_13825677",0.55,0,NA,NA,NA,NA,0.142857142857143,NA,NA,0.571428571428571,NA,0.166666666666667,NA,NA,NA,NA,0,NA,NA,NA,0,NA
"chr21_13937313_13937526",NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.823529411764706,NA,1,NA,NA,NA,1,1
"chr21_13979588_13980337",NA,NA,NA,NA,NA,NA,NA,0.875,NA,NA,NA,NA,0.230769230769231,NA,NA,0.466666666666667,NA,0,NA,NA,NA,NA
"chr21_14011210_14011492",NA,NA,NA,0.75,NA,1,NA,1,NA,NA,0.642857142857143,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"chr21_14027617_14027873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,0
"chr21_14063799_14064641",1,1,NA,NA,NA,0.944444444444444,1,NA,1,NA,NA,NA,0.911764705882353,1,NA,0.923076923076923,NA,0.954545454545455,1,NA,NA,NA
"chr21_14070636_14070839",NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,0.875,NA,1,1
