chr,start,end,strand,pvalue,qvalue,meth.diff,direction
chr21,6126904,6127294,*,0.0035049032176579,0.0327878042942199,-17.6470588235294,hypo
chr21,8387801,8396922,*,0.0009544129507051,0.0115324898210201,37.4269005847953,hyper
chr21,8446300,8448549,*,4.1555202791177e-05,0.0008607863435315,50.0,hyper
chr21,8594653,8595830,*,7.60460074526405e-05,0.0012251856756258,-51.3333333333333,hypo
chr21,13937313,13937526,*,0.0047077753933602,0.0413713595174085,-11.1111111111111,hypo
chr21,26169576,26170890,*,1.59271457187346e-07,6.59838894061863e-06,24.1071428571429,hyper
chr21,34072788,34074105,*,2.10157536460249e-05,0.0004688129659497,20.0,hyper
chr21,36989846,36990568,*,0.0054150305159994,0.0461870249894068,-19.7450248756219,hypo
chr21,37005638,37007137,*,4.58495931402255e-10,6.6481910053327e-08,-36.2055933484505,hypo
chr21,37072561,37074197,*,6.4473496470905704e-09,3.73946279531253e-07,29.8315602836879,hyper
chr21,37257752,37258206,*,6.303327625060521e-09,3.73946279531253e-07,-46.780487804878,hypo
chr21,37675325,37675626,*,5.90378809256077e-05,0.0011413990312284,-48.5714285714286,hypo
chr21,41426220,41426957,*,0.0029354344578428,0.0283758664258138,10.9451219512195,hyper
chr21,41778049,41778555,*,0.0005322578330129,0.0073502272177977,35.3236957888121,hyper
chr21,41808939,41809152,*,0.0016242458682339,0.0174456037699196,14.2735042735043,hyper
chr21,41878502,41879792,*,1.2601794367929201e-09,1.21817345556649e-07,-58.1818181818182,hypo
chr21,42106461,42106707,*,6.81929453888282e-05,0.0012251856756258,-42.1052631578947,hypo
chr21,42234737,42235355,*,4.71790741137861e-06,0.0001311168991719,35.8959648116275,hyper
chr21,42496169,42496790,*,4.33477688236099e-07,1.57135661985586e-05,-44.0,hypo
chr21,42879002,42879698,*,1.65187518549897e-08,7.98406339657836e-07,-52.1739130434783,hypo
chr21,43728574,43728864,*,0.0007035959471215,0.0092746738484204,35.8974358974359,hyper
chr21,44723528,44723893,*,0.0036762058896245,0.0333156158747225,29.3103448275862,hyper
chr21,44939733,44940508,*,4.97339962376344e-06,0.0001311168991719,20.0,hyper
chr21,45100881,45101380,*,2.5154808863984102e-14,7.29489457055539e-12,57.1428571428571,hyper
chr21,45439269,45440155,*,0.0003531334392848,0.0051204348696297,-16.6682998530132,hypo
chr21,45470935,45471201,*,0.002740696351013,0.0274069635101305,-29.0273556231003,hypo
chr21,45509312,45510297,*,0.0014744014832494,0.0166875103195033,-10.8695652173913,hypo
chr21,45898596,45898986,*,0.0023479872526783,0.0243184394027401,-30.0,hypo
chr21,46323772,46325437,*,6.17048379915173e-06,0.0001491200251461,-19.2857142857143,hypo
chr21,46661330,46662292,*,0.001496121614852,0.0166875103195033,14.4268774703557,hyper
