"tile_id","SRR13404367","SRR13404368","SRR13404369","SRR13404370","SRR13404371","SRR13404372","SRR13404373","SRR13404374","SRR13404375","SRR13404376","SRR13404377","SRR13404378","SRR13404379","SRR13404380","SRR13404381","SRR13404382","SRR13404383","SRR13404384","SRR13404385","SRR13404386","SRR13404387","SRR13404388"
"chr21_5030001_5035000",1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA
"chr21_5035001_5040000",NA,NA,NA,1,1,NA,1,1,NA,0.833333333333333,1,NA,NA,NA,NA,NA,NA,1,0.875,NA,NA,NA
"chr21_5040001_5045000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA
"chr21_5045001_5050000",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_5050001_5055000",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA
"chr21_5055001_5060000",NA,1,NA,NA,NA,0.666666666666667,NA,NA,NA,0.75,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_5060001_5065000",1,0.88235294117647,NA,NA,NA,1,NA,NA,0.4,0.833333333333333,NA,1,NA,NA,NA,NA,1,0.777777777777778,0.454545454545455,0.9,0.875,NA
"chr21_5065001_5070000",1,NA,NA,NA,NA,0.909090909090909,0.764705882352941,NA,NA,NA,0.75,1,NA,1,1,1,1,NA,NA,0.916666666666667,1,NA
"chr21_5070001_5075000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"chr21_5080001_5085000",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0.888888888888889,NA,NA,0.8
"chr21_5085001_5090000",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.545454545454545,1,NA,NA,NA,NA,NA,0.4
"chr21_5090001_5095000",NA,NA,NA,1,NA,1,0.75,0.947368421052632,1,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,0.875
"chr21_5095001_5100000",0.777777777777778,1,0.909090909090909,1,NA,NA,0.875,1,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA
"chr21_5100001_5105000",NA,NA,NA,0.833333333333333,0,0.5,0,NA,0.111111111111111,0.181818181818182,NA,0,0.526315789473684,NA,0.428571428571429,0,0.666666666666667,NA,1,0.5,NA,NA
"chr21_5105001_5110000",NA,NA,NA,1,NA,1,0.555555555555556,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.5,1,NA,0.875
"chr21_5110001_5115000",NA,1,0.9,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,0.857142857142857,NA,NA,1,NA
"chr21_5115001_5120000",NA,NA,NA,NA,1,NA,1,0.818181818181818,NA,NA,0,NA,NA,NA,0.428571428571429,NA,NA,NA,NA,NA,NA,NA
"chr21_5120001_5125000",NA,NA,NA,0.642857142857143,NA,0.142857142857143,NA,1,NA,0.333333333333333,NA,0.444444444444444,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"chr21_5125001_5130000",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222222222222222,NA,NA,NA,NA,NA,NA
"chr21_5130001_5135000",NA,NA,NA,NA,0.8,NA,NA,0.958333333333333,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,0.833333333333333,1,NA
"chr21_5135001_5140000",0.944444444444444,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
