"tile_id","SRR13404367","SRR13404368","SRR13404369","SRR13404370","SRR13404371","SRR13404372","SRR13404373","SRR13404374","SRR13404375","SRR13404376","SRR13404377","SRR13404378","SRR13404379","SRR13404380","SRR13404381","SRR13404382","SRR13404383","SRR13404384","SRR13404385","SRR13404386","SRR13404387","SRR13404388"
"chr21_5025001_5035000",1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA
"chr21_5030001_5040000",1,NA,NA,1,1,NA,1,1,NA,0.846153846153846,1,NA,1,1,NA,NA,NA,1,0.88235294117647,NA,NA,NA
"chr21_5035001_5045000",NA,NA,NA,1,1,NA,1,1,NA,0.846153846153846,1,NA,NA,NA,0.9,NA,NA,1,0.88235294117647,NA,NA,NA
"chr21_5040001_5050000",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA
"chr21_5045001_5055000",1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA
"chr21_5050001_5060000",1,1,NA,NA,NA,0.857142857142857,NA,NA,NA,0.75,NA,1,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA
"chr21_5055001_5065000",1,0.904761904761905,NA,NA,NA,0.909090909090909,NA,NA,0.411764705882353,0.8,NA,1,NA,NA,NA,NA,1,0.777777777777778,0.416666666666667,0.9,0.875,NA
"chr21_5060001_5070000",1,0.888888888888889,NA,NA,NA,0.9375,0.764705882352941,NA,0.411764705882353,0.833333333333333,0.75,1,NA,1,1,1,1,0.777777777777778,0.571428571428571,0.91304347826087,0.909090909090909,NA
"chr21_5065001_5075000",1,NA,NA,NA,NA,0.916666666666667,0.764705882352941,NA,NA,NA,0.75,1,NA,1,1,1,1,NA,NA,0.923076923076923,1,NA
"chr21_5070001_5080000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"chr21_5075001_5085000",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0.888888888888889,NA,NA,0.8
"chr21_5080001_5090000",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0.583333333333333,1,NA,1,0.888888888888889,NA,NA,0.6
"chr21_5085001_5095000",NA,NA,NA,1,NA,1,0.875,0.95,1,NA,NA,1,1,NA,0.6875,1,NA,1,NA,NA,NA,0.714285714285714
"chr21_5090001_5100000",0.789473684210526,1,0.91304347826087,1,NA,1,0.833333333333333,0.958333333333333,1,1,NA,1,1,1,1,1,NA,1,1,NA,1,0.875
"chr21_5095001_5105000",0.80952380952381,1,0.91304347826087,0.916666666666667,0,0.571428571428571,0.35,1,0.1,0.55,NA,0.333333333333333,0.62962962962963,1,0.428571428571429,0,0.75,NA,1,0.5,1,NA
"chr21_5100001_5110000",0.75,NA,NA,0.9,0,0.727272727272727,0.238095238095238,NA,0.1,0.166666666666667,NA,0.333333333333333,0.545454545454545,NA,0.428571428571429,0,0.75,NA,0.8,0.8,NA,0.875
"chr21_5105001_5115000",NA,1,0.916666666666667,1,1,1,0.636363636363636,NA,NA,NA,1,1,NA,NA,1,NA,NA,0.857142857142857,0.5,1,1,0.875
"chr21_5110001_5120000",NA,1,0.9,1,1,NA,1,0.846153846153846,NA,NA,0.3,NA,NA,NA,0.777777777777778,NA,NA,0.857142857142857,NA,NA,1,NA
"chr21_5115001_5125000",NA,NA,NA,0.6875,1,0.125,1,0.866666666666667,NA,0.5,0,0.444444444444444,NA,NA,0.428571428571429,NA,NA,NA,NA,NA,1,NA
"chr21_5120001_5130000",NA,NA,NA,0.642857142857143,NA,0.0909090909090909,NA,1,NA,0.333333333333333,NA,0.444444444444444,NA,NA,NA,0.222222222222222,NA,NA,NA,NA,1,NA
"chr21_5125001_5135000",NA,NA,NA,NA,0.8,0,NA,0.96,NA,NA,1,NA,1,NA,1,0.3,NA,NA,NA,0.833333333333333,1,NA
"chr21_5130001_5140000",0.947368421052632,NA,NA,NA,0.8125,NA,NA,0.96,NA,NA,1,NA,1,NA,1,1,1,NA,NA,0.833333333333333,1,NA
"chr21_5135001_5145000",0.947368421052632,NA,NA,1,0.818181818181818,NA,0.666666666666667,0.916666666666667,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"chr21_5140001_5150000",0.333333333333333,NA,NA,0.78125,NA,NA,0.666666666666667,0.952380952380952,NA,1,0.5,NA,0.944444444444444,NA,1,0.909090909090909,NA,NA,0.714285714285714,NA,0.75,0.9
"chr21_5145001_5155000",0.333333333333333,0,NA,0.740740740740741,NA,NA,1,1,NA,NA,0.5,1,0.933333333333333,NA,0.933333333333333,0.857142857142857,NA,NA,0.714285714285714,NA,0.8,0.9
"chr21_5150001_5160000",NA,0.0625,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,0.75,0.75,NA,NA,NA,NA,1,NA
"chr21_5155001_5165000",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,0.666666666666667,NA,NA,NA,NA,NA,NA,NA
"chr21_5160001_5170000",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
