"chr","start","end","strand","pvalue","qvalue","meth.diff"
"chr21",5030001,5040000,"*",0.760497627448515,0.927999183251005,-0.911369332421963
"chr21",5035001,5045000,"*",0.483118842763217,0.794070107191196,-3.9202657807309
"chr21",5045001,5055000,"*",0.0760463561232522,0.394592465892755,16.6666666666667
"chr21",5050001,5060000,"*",0.247774318840786,0.633163547723709,14.4444444444444
"chr21",5055001,5065000,"*",0.707198886043356,0.907165467614235,2.49999999999999
"chr21",5060001,5070000,"*",0.669555387927676,0.88873829533895,1.87567373338124
"chr21",5065001,5075000,"*",0.0495143532988968,0.330833669743361,8.76923076923076
"chr21",5075001,5085000,"*",0.353509672597502,0.715737172528602,7.69230769230769
"chr21",5080001,5090000,"*",0.466070681254152,0.78524416684957,-7.45341614906831
"chr21",5085001,5095000,"*",0.351687762627717,0.715140404705534,4.46428571428571
"chr21",5090001,5100000,"*",0.62140180626885,0.870433898673192,1.5015015015015
"chr21",5095001,5105000,"*",0.496398758421251,0.801579911962682,4.8202614379085
"chr21",5100001,5110000,"*",0.0590556871227516,0.354186280237356,-15.5807892777364
"chr21",5105001,5115000,"*",0.0339830897974232,0.281035091640763,12.4627606752731
"chr21",5110001,5120000,"*",0.00893037039892302,0.137539080411439,-19.5652173913044
"chr21",5115001,5125000,"*",0.00300038952575444,0.0766367099289531,-30.6914893617021
"chr21",5120001,5130000,"*",0.450366059655271,0.77655226925109,-9.86842105263158
"chr21",5125001,5135000,"*",0.00741590219562693,0.126576363593124,-23.546511627907
"chr21",5130001,5140000,"*",0.116901570765029,0.480183462247747,6.84523809523809
"chr21",5135001,5145000,"*",0.00913410761769353,0.139492245597366,15.4166666666667
"chr21",5140001,5150000,"*",0.440756356868401,0.77205551946902,4.02252614641995
"chr21",5145001,5155000,"*",0.0222854823660374,0.224214825358162,-13.680387409201
"chr21",5150001,5160000,"*",0.000220304878997995,0.0172891326734637,-47.3684210526316
"chr21",5155001,5165000,"*",0.345562407157684,0.710951188099096,-7.69230769230769
"chr21",5210001,5220000,"*",0.560506917482905,0.83999167941477,3.20691999697816
"chr21",5215001,5225000,"*",0.642938187757574,0.879702182370137,1.3968253968254
"chr21",5220001,5230000,"*",0.735770029395994,0.916742664589237,-1.01946579209294
"chr21",5225001,5235000,"*",0.00248586244883954,0.0684691001637839,-10.6169073891331
"chr21",5230001,5240000,"*",0.00983126881327087,0.145246484666939,-8.86598543575288
"chr21",5235001,5245000,"*",0.0758340256359702,0.393772385084701,-6.07999094228537
"chr21",5240001,5250000,"*",0.0570103335698083,0.34957984760388,-6.31044487427466
"chr21",5245001,5255000,"*",0.287690698189405,0.666318111323737,-4.21151873685519
"chr21",5250001,5260000,"*",0.565391804750092,0.841821049190715,-3.35786789820561
"chr21",5255001,5265000,"*",0.025269938671432,0.239832610840118,35
"chr21",5260001,5270000,"*",0.016814562545909,0.190885678549122,-62.5
"chr21",5265001,5275000,"*",0.383390442172632,0.740642947408861,-25
"chr21",5275001,5285000,"*",0.150688083981011,0.531161213859151,43.1372549019608
"chr21",5280001,5290000,"*",0.315141313825742,0.690521985424615,14.9321266968326
"chr21",5285001,5295000,"*",0.464324702923321,0.784076834336043,3.85629531970996
"chr21",5290001,5300000,"*",0.655622420656964,0.883260092425354,-1.85179441049661
"chr21",5295001,5305000,"*",0.47256165963937,0.787704959021636,-4.100145137881
"chr21",5300001,5310000,"*",0.774388663491349,0.934056429159668,3.30769230769231
"chr21",5305001,5315000,"*",0.476133829092769,0.789188993386754,-5.18199499861073
"chr21",5310001,5320000,"*",0.943842533228145,0.989254982811294,-0.530660377358494
"chr21",5315001,5325000,"*",0.476465465056986,0.789241299631451,-7.3345259391771
"chr21",5320001,5330000,"*",0.321374526953046,0.695688098632466,-11.5384615384615
"chr21",5325001,5335000,"*",0.30760211874258,0.685513293197749,-12.1564482029598
"chr21",5330001,5340000,"*",0.61135778444012,0.86532475479583,-7.15563506261181
"chr21",5335001,5345000,"*",0.383798241826833,0.741233345636807,-13.0067567567568
"chr21",5340001,5350000,"*",0.767219917714896,0.930671117575895,-3.72294372294373
"chr21",5345001,5355000,"*",0.957060049650698,0.992573736610598,0.67340067340067
"chr21",5350001,5360000,"*",0.43672492131853,0.77117881675867,-7.74980330448466
"chr21",5355001,5365000,"*",0.252845489262622,0.638765121679754,-13.0769230769231
"chr21",5360001,5370000,"*",0.0674390535879679,0.374937019273683,-31.4285714285714
"chr21",5365001,5375000,"*",0.786955396913348,0.94040381663626,2.5062656641604
"chr21",5370001,5380000,"*",0.248076780527794,0.633185056669726,10.3168368682901
"chr21",5375001,5385000,"*",0.0751895650568123,0.391547096139351,-25.6302521008403
"chr21",5380001,5390000,"*",0.00286039643055602,0.0749072769214923,-49.5238095238095
"chr21",5385001,5395000,"*",0.57385724310647,0.84608952062893,13.3333333333333
"chr21",6030001,6040000,"*",0.2481589627946,0.633185056669726,10
"chr21",6035001,6045000,"*",0.640434605058972,0.879026287703446,13.3333333333333
"chr21",6065001,6075000,"*",0.223978790946851,0.607746250496922,-23.0769230769231
"chr21",6070001,6080000,"*",0.93076226205583,0.987006688942997,-1.66666666666667
"chr21",6075001,6085000,"*",0.182112913786034,0.566316742321589,30
"chr21",6085001,6095000,"*",0.531005226722942,0.82208381278173,-4.61393596986817
"chr21",6090001,6100000,"*",0.0390478782421662,0.298805805758628,-19.4444444444444
"chr21",6095001,6105000,"*",0.126033325192982,0.495757594083821,-11.9311875693674
"chr21",6100001,6110000,"*",0.00213385680313877,0.062922753048653,-23.8928376161837
"chr21",6105001,6115000,"*",0.750224926406547,0.923589294048373,-3.98305084745763
"chr21",6110001,6120000,"*",0.000447727115404771,0.026410537827494,75
"chr21",6120001,6130000,"*",8.53293002457655e-06,0.00167291552427779,-25.3488372093023
"chr21",6125001,6135000,"*",1.67012190217463e-06,0.000484602571134991,-20.6027512338549
"chr21",6150001,6160000,"*",0.039384111377649,0.29946786575835,35.7142857142857
"chr21",6155001,6165000,"*",0.0679868634198407,0.374937019273683,26.9230769230769
"chr21",6360001,6370000,"*",0.86121591795092,0.96529787468545,-2.41102181400689
"chr21",6365001,6375000,"*",0.0831285750600051,0.413336650619676,-8.46081588835212
"chr21",6370001,6380000,"*",0.000593074004521596,0.03051176474326,14.6095164919598
"chr21",6375001,6385000,"*",0.0192403641787553,0.205333837922412,11.4474703533758
"chr21",6425001,6435000,"*",0.141998315816029,0.520675945356543,-4
"chr21",6430001,6440000,"*",0.0447643021480768,0.315701630910641,11.3696808510638
"chr21",6435001,6445000,"*",0.238546248993063,0.622675239365124,11.7006802721088
"chr21",6465001,6475000,"*",1.19622542207929e-05,0.00211644371018614,-69.2307692307692
"chr21",6475001,6485000,"*",0.158378523013258,0.541593645757835,7.14285714285714
"chr21",6480001,6490000,"*",0.483061001185723,0.794070107191196,6.11111111111111
"chr21",6485001,6495000,"*",0.71028462067048,0.908607315415315,3.33333333333333
"chr21",6500001,6510000,"*",0.775630442728131,0.934932408034208,2.44565217391305
"chr21",6505001,6515000,"*",0.663529010552743,0.886465246399402,3.4324942791762
"chr21",6525001,6535000,"*",0.00047228112152426,0.0269758051617085,57.1428571428571
"chr21",6530001,6540000,"*",0.00047228112152426,0.0269758051617085,57.1428571428571
"chr21",6535001,6545000,"*",0.207662276933544,0.591690368041747,33.3333333333333
"chr21",6540001,6550000,"*",0.207662276933544,0.591690368041747,33.3333333333333
"chr21",6550001,6560000,"*",0.000211043345116716,0.0170100936164073,72.3076923076923
"chr21",6555001,6565000,"*",0.000556275908385228,0.0295406808902344,53.6231884057971
"chr21",6560001,6570000,"*",0.0371764746999323,0.293767045177896,36.0501567398119
"chr21",6565001,6575000,"*",0.0592961354934394,0.354186280237356,44.8717948717949
"chr21",6840001,6850000,"*",0.216166268792491,0.600666091952054,-25
"chr21",6845001,6855000,"*",0.311902811067891,0.688369001338485,-12.5
"chr21",6890001,6900000,"*",0.184657839620316,0.568330015865205,-12
"chr21",6895001,6905000,"*",0.0722876853744561,0.384173335728863,-25.8064516129032
"chr21",6910001,6920000,"*",0.201388778948508,0.587168087818519,28.5714285714286
"chr21",6915001,6925000,"*",0.151678308914718,0.531161213859151,28.5714285714286
"chr21",6920001,6930000,"*",0.31059692370059,0.687991773944068,10.2418207681366
"chr21",6925001,6935000,"*",0.742099829754026,0.91986589101868,3.33333333333333
"chr21",6930001,6940000,"*",0.657600867613373,0.883868203384734,-16.6666666666667
"chr21",7195001,7205000,"*",0.484702786198679,0.794421058352094,-11.3095238095238
"chr21",7200001,7210000,"*",0.913924263874229,0.980757324279595,-1.15830115830116
"chr21",7205001,7215000,"*",0.633818606972998,0.876089972367021,-5.31358885017421
"chr21",7210001,7220000,"*",0.45374980721369,0.779976564343153,-14.7058823529412
"chr21",7215001,7225000,"*",0.590298302916177,0.853318739258283,5.23731587561375
"chr21",7220001,7230000,"*",0.811661361335957,0.94854965573237,1.80218837159408
"chr21",7225001,7235000,"*",0.448526092934835,0.77584979892676,-3.66612966430095
"chr21",7230001,7240000,"*",0.353979588726828,0.71645310731708,4.35132707733283
"chr21",7235001,7245000,"*",0.060611992440015,0.357172537091688,10.3520390379923
"chr21",7240001,7250000,"*",0.74458044243302,0.921029210800939,1.50788363313347
"chr21",7245001,7255000,"*",0.882564623524429,0.971638151319807,0.778999738151342
"chr21",7250001,7260000,"*",0.350052194400792,0.714007246490111,4.34952978056427
"chr21",7255001,7265000,"*",0.627276670121979,0.874726920972332,-1.8862031504617
"chr21",7260001,7270000,"*",0.120988472617708,0.488894213167153,-6.75281954887218
"chr21",7265001,7275000,"*",0.441408432454857,0.772118825422603,3.89114266396213
"chr21",7270001,7280000,"*",0.224228543028644,0.607746250496922,7.22905546530517
"chr21",7275001,7285000,"*",0.0680200051508363,0.374937019273683,9.6988118264714
"chr21",7280001,7290000,"*",0.038092409716497,0.295235628214709,9.09315909315909
"chr21",7285001,7295000,"*",0.334788402159889,0.703113801177717,3.985259478763
"chr21",7290001,7300000,"*",0.576689962400072,0.848014288473881,-2.37101862216342
"chr21",7295001,7305000,"*",0.320554938091221,0.694950843070447,-5.16157101609778
"chr21",7300001,7310000,"*",0.660273829888777,0.885275472633697,2.9746835443038
"chr21",7305001,7315000,"*",0.0309021974974221,0.266862548388453,12.5768872320596
"chr21",7310001,7320000,"*",0.372433679150733,0.732572134902047,-5.35339765100671
"chr21",7315001,7325000,"*",0.00138475494714438,0.0517784143638419,-16.5178831903845
"chr21",7320001,7330000,"*",0.00926541537155116,0.140138141491562,-11.3500633407734
"chr21",7325001,7335000,"*",0.0989920971261757,0.447407272618865,-10.2496473041771
"chr21",7745001,7755000,"*",0.00563281074721636,0.109252430909913,42.8571428571429
"chr21",7750001,7760000,"*",0.101501974192147,0.450333529535065,13.953488372093
"chr21",7755001,7765000,"*",0.212778293043508,0.597639502788775,9.375
"chr21",7790001,7800000,"*",0.00392591709443809,0.088207564004043,-100
"chr21",7795001,7805000,"*",0.00392591709443809,0.088207564004043,-100
"chr21",7810001,7820000,"*",0.629920291457045,0.874726920972332,-6.2857142857143
"chr21",7815001,7825000,"*",0.469944477226696,0.787366424714563,4.54212454212454
"chr21",7820001,7830000,"*",0.245717812367504,0.631283391397545,11.2179487179487
"chr21",7910001,7920000,"*",0.818970599770635,0.952036535321444,-0.419736041082286
"chr21",7915001,7925000,"*",0.163625312370298,0.547469111421367,-1.67865630160712
"chr21",7920001,7930000,"*",0.0350319064255524,0.28520925837369,-2.54311112870974
"chr21",7925001,7935000,"*",0.634410773036083,0.876574428115,-0.593094171227537
"chr21",7930001,7940000,"*",0.870541738131101,0.967950608277591,-0.200598520548334
"chr21",7935001,7945000,"*",0.426637612327572,0.767457877584739,1.04876432683459
"chr21",7940001,7950000,"*",0.00679598625255696,0.122024961079327,4.37029547241883
"chr21",7945001,7955000,"*",0.671013712061663,0.889498033906418,0.741182725707168
"chr21",7950001,7960000,"*",0.661342374674648,0.885942305796841,0.835112159682438
"chr21",7955001,7965000,"*",0.065322063326812,0.37180684299105,4.83060417843026
"chr21",7960001,7970000,"*",0.933849972108528,0.987222850045534,0.255715198982853
"chr21",7965001,7975000,"*",0.0330106704864638,0.2772966592029,-8.78414444521803
"chr21",7970001,7980000,"*",0.0800539665784732,0.406983447537688,-8.78371342288868
"chr21",7975001,7985000,"*",0.416126656874924,0.760466688929231,-5.57150451887294
"chr21",7980001,7990000,"*",0.831226876429376,0.956362874012823,2.31481481481481
"chr21",7985001,7995000,"*",0.0951367794625123,0.439773974913368,-13.9904610492846
"chr21",7990001,8000000,"*",0.113341976177335,0.47388051595988,-13.1060606060606
"chr21",7995001,8005000,"*",0.0458045084934247,0.32031991965981,42.8571428571429
"chr21",8000001,8010000,"*",0.209584163162253,0.593168576069612,-11.4042933810376
"chr21",8005001,8015000,"*",0.630436346124233,0.874726920972332,4.09069658719027
"chr21",8010001,8020000,"*",0.245559486244777,0.631214923182004,11.7021276595745
